,n1,n2,score
0,-3AooxIkg38UyUdlz5oXdw,MwJsk91FJ73YzzmpVaJihQ,7.475
1,-3AooxIkg38UyUdlz5oXdw,s4k1P9FHfPUzw3dqXRp7eA,6.933
2,-3AooxIkg38UyUdlz5oXdw,kbWKwvLXfJm5sLVfw-Foww,6.538
3,-3AooxIkg38UyUdlz5oXdw,Qkg16mN-8QR66gjzg6gMyw,6.413
4,-3AooxIkg38UyUdlz5oXdw,-TjT3y-Glfnbt6LbKETAYg,5.963
5,-3AooxIkg38UyUdlz5oXdw,6EizP0XyqITuGZ8GZMI9Lw,5.843
6,-3AooxIkg38UyUdlz5oXdw,KSYONgGtrK0nKXfroB-bwg,5.829
7,-3AooxIkg38UyUdlz5oXdw,4D7QDfPOsSPfKxBi3gs_qQ,5.821
8,-3AooxIkg38UyUdlz5oXdw,fqStx0SvwMFChX_HIdUeEQ,5.819
9,-3AooxIkg38UyUdlz5oXdw,iBBV8vesQ8fo2IQA7an1JA,5.806
10,-6jvfSJGprbfBD2QrS9zQw,u9oG6CVhS9dJR5ZHS5q23A,4.987
11,-6jvfSJGprbfBD2QrS9zQw,jZncFsMQdrq268OHq_Q6uw,4.658
12,-6jvfSJGprbfBD2QrS9zQw,NmexnuLm3zyKxsgwbCe7ug,3.347
13,-6jvfSJGprbfBD2QrS9zQw,z64NmuzWMMmJty6gE_3nWQ,2.995
14,-6jvfSJGprbfBD2QrS9zQw,GuzbBFraIq-fbkjfvaTRvg,2.631
15,-6jvfSJGprbfBD2QrS9zQw,bXrQejeR66IwebuhxPS7GA,2.489
16,-6jvfSJGprbfBD2QrS9zQw,wJiaLWAxfqDeFsmE2cI8tg,2.481
17,-6jvfSJGprbfBD2QrS9zQw,8RlO6NuhWzXktp-1croq5A,2.325
18,-6jvfSJGprbfBD2QrS9zQw,OzGk7arJv6FPrWqaYSvyKQ,2.31
19,-6jvfSJGprbfBD2QrS9zQw,6m4A_ciUZn1G302yx1YV1w,2.3
20,-ALqLSTzkGDMscHdxA1NgA,oJwMmSZKJOnMboZ_z67MZw,7.685
21,-ALqLSTzkGDMscHdxA1NgA,2h3SEwpI6fiuTF9mcN1S_Q,6.431
22,-ALqLSTzkGDMscHdxA1NgA,Tc1L4BH_2pkCywkAEfCQRg,5.889
23,-ALqLSTzkGDMscHdxA1NgA,BaWVwChTW_MqkKru_WZp3g,4.609
24,-ALqLSTzkGDMscHdxA1NgA,yPSejq3_erxo9zdVYTBnZA,4.119
25,-ALqLSTzkGDMscHdxA1NgA,9ugpNKKhnYRa51qXoxUw_A,3.857
26,-ALqLSTzkGDMscHdxA1NgA,nYPzsOjvida-ne7swSPHpA,3.794
27,-ALqLSTzkGDMscHdxA1NgA,m4kvY0viCwxqRtgOycnKVQ,3.731
28,-ALqLSTzkGDMscHdxA1NgA,6RBZfirnzE4NahJTn1UPNA,3.717
29,-ALqLSTzkGDMscHdxA1NgA,xIGiif0TmmmGuV2-sidMSw,3.683
30,-BdYhP-12elmFV7oB1iv4A,EZc2myE2mYk2h9JK9qu8gw,8.789
31,-BdYhP-12elmFV7oB1iv4A,QLHgjBHBoeIUoEvIPvjHnw,8.744
32,-BdYhP-12elmFV7oB1iv4A,thlyktt2c7v1DyOpSVSibw,7.567
33,-BdYhP-12elmFV7oB1iv4A,zbrIMldF_O1ZQ0vpUaaa8A,7.525
34,-BdYhP-12elmFV7oB1iv4A,q-1ICFSqs2MwDGfe5tX-SQ,7.337
35,-BdYhP-12elmFV7oB1iv4A,2l-spLLGUzRiZg8dF623Nw,7.159
36,-BdYhP-12elmFV7oB1iv4A,IRyKDIF51M0GcqS8yfPcYA,6.96
37,-BdYhP-12elmFV7oB1iv4A,3Wy21heeDm8h2tSZfcj6OA,6.854
38,-BdYhP-12elmFV7oB1iv4A,8Vo6LN9gqULhXzoxj5k6kQ,6.775
39,-BdYhP-12elmFV7oB1iv4A,jfRq1KtjEGyPoMo9HZVw2Q,6.71
40,-FM4CxOg4XXmX_Ebky_SiQ,thlyktt2c7v1DyOpSVSibw,7.837
41,-FM4CxOg4XXmX_Ebky_SiQ,-TjT3y-Glfnbt6LbKETAYg,7.808
42,-FM4CxOg4XXmX_Ebky_SiQ,zbrIMldF_O1ZQ0vpUaaa8A,7.584
43,-FM4CxOg4XXmX_Ebky_SiQ,q-1ICFSqs2MwDGfe5tX-SQ,7.355
44,-FM4CxOg4XXmX_Ebky_SiQ,6HTGlttrzCMsuGBHO1ZGiw,7.118
45,-FM4CxOg4XXmX_Ebky_SiQ,NIQWO-Q_F598XlAvZnFVCA,7.084
46,-FM4CxOg4XXmX_Ebky_SiQ,3Wy21heeDm8h2tSZfcj6OA,6.855
47,-FM4CxOg4XXmX_Ebky_SiQ,EZc2myE2mYk2h9JK9qu8gw,6.854
48,-FM4CxOg4XXmX_Ebky_SiQ,kbWKwvLXfJm5sLVfw-Foww,6.532
49,-FM4CxOg4XXmX_Ebky_SiQ,8Lbz0hfE4MWzd7yDu9atBA,6.523
50,-H-fZonTLitwHFY_PLAIjA,yEmEDomLUofVtbZoUeFV5g,3.85
51,-H-fZonTLitwHFY_PLAIjA,W7gSJz80DywKnPRIGjA2Bw,3.772
52,-H-fZonTLitwHFY_PLAIjA,Bo-GGwQNcLVwyKeYkbfAYg,3.678
53,-H-fZonTLitwHFY_PLAIjA,oJwMmSZKJOnMboZ_z67MZw,3.262
54,-H-fZonTLitwHFY_PLAIjA,yPSejq3_erxo9zdVYTBnZA,3.119
55,-H-fZonTLitwHFY_PLAIjA,ifjluUv4VASwmFqEp8cWlQ,3.073
56,-H-fZonTLitwHFY_PLAIjA,TUtf4FLtotdQDleYpRIfnw,2.959
