address,take_out,business_id,categories,latitude,longitude,name,review_count,stars,star_count,dates
1012 State St,True,-3AooxIkg38UyUdlz5oXdw,"{'Italian', 'Nightlife', 'Event Planning & Services', 'Caterers', 'Bars', 'Restaurants'}",34.421931,-119.7021852,Chase Restaurant,436,3.0,"[115, 56, 67, 62, 144]","['2021-12-28 02:40:57', '2021-11-29 16:04:16', '2021-10-01 02:33:33', '2021-12-29 02:04:15', '2022-01-05 05:43:43']"
2036 Cliff Dr,True,-6jvfSJGprbfBD2QrS9zQw,"{'Food', 'Grocery'}",34.4025384,-119.724894,Mesa Produce,19,5.0,"[0, 0, 0, 0, 19]","[0, 0, 0, 0, '2021-10-24 16:08:48']"
1417 San Andres St,True,-ALqLSTzkGDMscHdxA1NgA,"{'Mexican', 'Restaurants'}",34.418221,-119.7157951,Su Casa Fresh Mexican Grill,29,4.5,"[0, 2, 3, 7, 17]","[0, '2013-01-24 23:23:09', '2016-08-13 05:59:35', '2019-10-27 10:17:42', '2020-07-29 04:39:12']"
1905 Cliff Dr,True,-BdYhP-12elmFV7oB1iv4A,"{'Gastropubs', 'Nightlife', 'American (New)', 'Cocktail Bars', 'American (Traditional)', 'Beer Bar', 'Bars', 'Restaurants'}",34.4013817,-119.7224721,Corner Tap Room,41,5.0,"[0, 0, 2, 5, 37]","[0, 0, '2021-10-21 03:56:27', '2021-10-30 15:46:13', '2021-12-24 20:48:52']"
31 W Carrillo St,True,-FM4CxOg4XXmX_Ebky_SiQ,"{'Breakfast & Brunch', 'Nightlife', 'American (New)', 'American (Traditional)', 'Bars', 'Restaurants'}",34.4203606,-119.7024752,Finch & Fork,1405,4.0,"[63, 82, 132, 379, 778]","['2021-11-21 02:44:59', '2021-06-21 00:01:19', '2021-12-07 23:51:31', '2021-11-14 04:40:43', '2022-01-09 19:18:59']"
2026 De La Vina St,True,-H-fZonTLitwHFY_PLAIjA,"{'Pizza', 'Restaurants'}",34.4295503,-119.7176051,Taffy's Pizza,192,4.0,"[26, 18, 12, 45, 97]","['2022-01-15 01:36:56', '2021-06-10 05:15:12', '2021-10-15 02:36:58', '2021-10-27 14:56:15', '2022-01-03 02:41:03']"
718 State St,True,-I7M6l0h46VdiN09Y1NUZw,"{'Gastropubs', 'Indian', 'Gluten-Free', 'Vegan', 'Restaurants'}",34.4192388,-119.6983869,Apna Indian Kitchen,246,4.5,"[10, 7, 8, 22, 208]","['2021-09-19 04:30:53', '2021-06-24 19:30:00', '2021-09-04 14:31:47', '2021-11-26 00:02:14', '2022-01-16 14:45:22']"
3126 State St,True,-NXRuUsazxXZZ_OHwmtYtw,"{'Sports Bars', 'Tacos', 'Beer', 'Pizza', 'Karaoke', 'Food', 'Mexican', 'Nightlife', 'American (New)', 'Wine & Spirits', 'Bars', 'Lounges', 'Restaurants'}",34.4406064,-119.7321808,Uptown Bar & Lounge,138,4.0,"[18, 9, 15, 30, 68]","['2021-06-11 03:03:08', '2021-12-28 23:11:32', '2019-03-07 00:12:25', '2021-08-19 05:55:04', '2021-10-24 15:26:28']"
1201 State St,True,-TjT3y-Glfnbt6LbKETAYg,"{'Breakfast & Brunch', 'Vegetarian', 'Seafood', 'Venues & Event Spaces', 'Nightlife', 'Event Planning & Services', 'American (New)', 'American (Traditional)', 'Bars', 'Restaurants'}",34.4233579,-119.7047765,Benchmark Eatery,544,4.0,"[44, 51, 80, 164, 222]","['2021-12-20 22:29:32', '2021-09-27 19:36:07', '2021-11-23 15:39:06', '2022-01-02 21:02:49', '2021-11-29 20:45:43']"
"137 Anacapa St, Ste C",True,-e8RwknT5szoLk9uBZjzcw,"{'Wine Tasting Room', 'Beer', 'Arts & Entertainment', 'Food', 'Nightlife', 'Wine & Spirits', 'Wine Bars', 'Bars', 'Wineries'}",34.4148148,-119.6905632,Riverbench Santa Barbara Tasting Room,121,4.0,"[10, 5, 13, 29, 65]","['2021-08-21 14:45:30', '2019-01-19 22:45:42', '2021-09-19 17:59:00', '2021-09-07 15:23:59', '2021-11-03 00:37:12']"
"315 Meigs Rd, Ste I",True,-fxH1XplVLVtWg2ZJWwRdA,"{'Sandwiches', 'American (New)', 'Restaurants'}",34.400863,-119.722647,Sam's To Go,87,4.5,"[5, 1, 4, 15, 63]","['2020-01-15 04:46:15', '2021-11-28 21:43:45', '2021-01-24 23:32:04', '2021-08-03 08:13:22', '2022-01-03 00:05:08']"
3890 La Cumbre Plz Ln,True,-ipZBVF9nWm1vzrvQ3444A,"{'Burgers', 'Restaurants'}",34.4383258245,-119.7496509558,Habit Burger Grill,131,4.0,"[12, 12, 15, 45, 52]","['2021-08-21 04:08:24', '2021-05-30 03:50:35', '2021-03-11 17:25:10', '2021-09-20 02:40:40', '2022-01-12 23:20:14']"
528 Anacapa St,True,-kY_HDP7IMvGl-kBIZVU4A,"{'Coffee & Tea', 'Food', 'Coffee Roasteries'}",34.4189939,-119.6950684,Dune Coffee Roasters - Anacapa,320,4.0,"[23, 24, 25, 82, 176]","['2020-10-25 23:01:13', '2021-04-02 02:31:29', '2021-12-08 05:03:29', '2021-09-08 20:06:36', '2021-12-03 18:27:47']"
2710 De La Vina St,True,-kfHz1kimX62QEceFkkB_g,"{'Sushi Bars', 'Japanese', 'Restaurants'}",34.4359425,-119.7253428,Edomasa,406,3.5,"[45, 38, 61, 145, 124]","['2021-03-07 03:08:28', '2021-09-26 15:51:37', '2021-09-26 03:06:14', '2020-12-23 03:08:47', '2022-01-18 22:12:47']"
"1324 State St, Ste N, Arlington Plaza",True,-loV4cB2Uh9TCltTRgGzWQ,"{'Breakfast & Brunch', 'Desserts', 'Sandwiches', 'Coffee & Tea', 'Food', 'French', 'Bakeries', 'Salad', 'Restaurants'}",34.4253682196,-119.7059071571,Renaud's Patisserie & Bistro,379,4.0,"[22, 15, 37, 99, 213]","['2021-12-27 02:38:52', '2021-06-04 20:14:01', '2021-07-24 21:53:19', '2022-01-16 01:38:09', '2021-10-16 20:09:28']"
605 Paseo Nuevo,True,-nwNPb3G-0L95igrhkvMtw,"{'Fast Food', 'Chinese', 'Restaurants'}",34.4187220772,-119.7001659,Panda Express,46,2.5,"[16, 10, 9, 4, 10]","['2022-01-08 16:53:48', '2021-08-13 16:33:02', '2021-07-19 23:22:12', '2021-08-02 04:20:03', '2021-10-13 04:34:38']"
10 E Carrillo St,True,-r6nmLB5Vi2TLQCxh0_dtw,"{'Delis', 'Salad', 'Sandwiches', 'Restaurants'}",34.4217021,-119.7013299,South Coast Deli- Carrillo,215,4.0,"[18, 11, 10, 46, 136]","['2021-12-18 00:09:01', '2020-02-29 00:02:18', '2021-06-27 04:48:51', '2021-03-13 17:50:53', '2021-07-21 19:22:32']"
116 Santa Barbara St,True,-ujBP1Dw0j1-Ffaz97-LXQ,"{'Beer', 'Arts & Entertainment', 'Food', 'Nightlife', 'Pubs', 'Beer Bar', 'Wine & Spirits', 'Kombucha', 'Bars', 'Wineries'}",34.4157471,-119.6884801,Lama Dog Tap Room,238,4.0,"[19, 16, 16, 70, 122]","['2021-07-11 05:31:26', '2020-08-24 18:38:47', '2021-08-08 21:49:56', '2021-12-01 19:04:15', '2021-09-13 19:05:04']"
